subtaskID,ID,label
1,1,glass
1,2,trash
1,3,trash
1,4,metal
1,5,trash
1,6,metal
1,7,trash
1,8,trash
1,9,glass
1,10,plastic
1,11,glass
1,12,cardboard
1,13,trash
1,14,metal
1,15,trash
1,16,glass
1,17,cardboard
1,18,trash
1,19,glass
1,20,paper
1,21,metal
1,22,metal
1,23,paper
1,24,metal
1,25,glass
1,26,trash
1,27,glass
1,28,cardboard
1,29,glass
1,30,plastic
1,31,trash
1,32,trash
1,33,paper
1,34,paper
1,35,plastic
1,36,plastic
1,37,plastic
1,38,cardboard
1,39,plastic
1,40,plastic
1,41,metal
1,42,trash
1,43,plastic
1,44,plastic
1,45,paper
1,46,plastic
1,47,cardboard
1,48,metal
1,49,trash
1,50,plastic
1,51,trash
1,52,paper
1,53,trash
1,54,cardboard
1,55,paper
1,56,cardboard
1,57,glass
1,58,glass
1,59,glass
1,60,metal
1,61,plastic
1,62,glass
1,63,glass
1,64,trash
1,65,paper
1,66,metal
1,67,glass
1,68,cardboard
1,69,glass
1,70,plastic
1,71,paper
1,72,trash
1,73,cardboard
1,74,plastic
1,75,paper
1,76,paper
1,77,glass
1,78,trash
1,79,paper
1,80,trash
1,81,cardboard
1,82,paper
1,83,cardboard
1,84,glass
1,85,metal
1,86,cardboard
1,87,metal
1,88,plastic
1,89,plastic
1,90,cardboard
1,91,metal
1,92,cardboard
1,93,paper
1,94,plastic
1,95,plastic
1,96,paper
1,97,glass
1,98,paper
1,99,glass
1,100,paper
1,101,cardboard
1,102,metal
1,103,plastic
1,104,paper
1,105,glass
1,106,trash
1,107,paper
1,108,trash
1,109,paper
1,110,trash
1,111,trash
1,112,plastic
1,113,cardboard
1,114,trash
1,115,plastic
1,116,cardboard
1,117,plastic
1,118,cardboard
1,119,cardboard
1,120,glass
1,121,glass
1,122,plastic
1,123,plastic
1,124,cardboard
1,125,metal
1,126,cardboard
1,127,trash
1,128,plastic
1,129,cardboard
1,130,cardboard
1,131,paper
1,132,cardboard
1,133,trash
1,134,paper
1,135,trash
1,136,trash
1,137,glass
1,138,plastic
1,139,paper
1,140,cardboard
1,141,plastic
1,142,glass
1,143,plastic
1,144,trash
1,145,plastic
1,146,glass
1,147,glass
1,148,cardboard
1,149,cardboard
1,150,trash
1,151,cardboard
1,152,paper
1,153,cardboard
1,154,glass
1,155,paper
1,156,trash
1,157,trash
1,158,metal
1,159,glass
1,160,plastic
1,161,plastic
1,162,paper
1,163,glass
1,164,glass
1,165,plastic
1,166,metal
1,167,glass
1,168,metal
1,169,plastic
1,170,cardboard
1,171,paper
1,172,paper
1,173,plastic
1,174,metal
1,175,trash
1,176,trash
1,177,trash
1,178,metal
1,179,trash
1,180,metal
1,181,cardboard
1,182,trash
1,183,plastic
1,184,paper
1,185,glass
1,186,trash
1,187,plastic
1,188,glass
1,189,metal
1,190,paper
1,191,paper
1,192,metal
1,193,trash
1,194,plastic
1,195,plastic
1,196,trash
1,197,trash
1,198,paper
1,199,plastic
1,200,plastic
1,201,trash
1,202,trash
1,203,trash
1,204,glass
1,205,plastic
1,206,trash
1,207,cardboard
1,208,glass
1,209,paper
1,210,trash
1,211,cardboard
1,212,trash
1,213,paper
1,214,metal
1,215,metal
1,216,paper
1,217,metal
1,218,glass
1,219,cardboard
1,220,paper
1,221,paper
1,222,trash
1,223,plastic
1,224,metal
1,225,metal
1,226,paper
1,227,plastic
1,228,cardboard
1,229,trash
1,230,plastic
1,231,trash
1,232,cardboard
1,233,trash
1,234,paper
1,235,trash
1,236,cardboard
1,237,paper
1,238,glass
1,239,paper
1,240,trash
1,241,glass
1,242,cardboard
1,243,metal
1,244,trash
1,245,cardboard
1,246,cardboard
1,247,trash
1,248,plastic
1,249,paper
1,250,cardboard
1,251,metal
1,252,plastic
1,253,paper
1,254,paper
1,255,metal
1,256,cardboard
1,257,paper
1,258,metal
1,259,paper
1,260,plastic
1,261,metal
1,262,plastic
1,263,cardboard
1,264,paper
1,265,trash
1,266,glass
1,267,trash
1,268,paper
1,269,metal
1,270,cardboard
1,271,trash
1,272,trash
1,273,metal
1,274,trash
1,275,glass
1,276,glass
1,277,cardboard
1,278,plastic
1,279,paper
1,280,paper
1,281,cardboard
1,282,trash
1,283,glass
1,284,glass
1,285,metal
1,286,plastic
1,287,plastic
1,288,trash
1,289,plastic
1,290,glass
1,291,paper
1,292,trash
1,293,cardboard
1,294,metal
1,295,plastic
1,296,trash
1,297,trash
1,298,metal
1,299,paper
1,300,glass
1,301,cardboard
1,302,trash
1,303,plastic
1,304,cardboard
1,305,metal
1,306,glass
1,307,metal
1,308,plastic
1,309,paper
1,310,glass
1,311,paper
1,312,cardboard
1,313,glass
1,314,plastic
1,315,plastic
1,316,plastic
1,317,cardboard
1,318,glass
1,319,metal
1,320,paper
1,321,cardboard
1,322,trash
1,323,cardboard
1,324,metal
1,325,cardboard
1,326,trash
1,327,trash
1,328,plastic
1,329,cardboard
1,330,glass
1,331,trash
1,332,cardboard
1,333,metal
1,334,trash
1,335,glass
1,336,trash
1,337,glass
1,338,paper
1,339,cardboard
1,340,paper
1,341,metal
1,342,trash
1,343,metal
1,344,plastic
1,345,cardboard
1,346,metal
1,347,metal
1,348,metal
1,349,plastic
1,350,trash
1,351,glass
1,352,paper
1,353,plastic
1,354,glass
1,355,plastic
1,356,metal
1,357,trash
1,358,glass
1,359,metal
1,360,cardboard
1,361,glass
1,362,paper
1,363,paper
1,364,plastic
1,365,trash
1,366,metal
1,367,glass
1,368,trash
1,369,paper
1,370,glass
1,371,paper
1,372,paper
1,373,paper
1,374,plastic
1,375,cardboard
1,376,glass
1,377,paper
1,378,plastic
1,379,paper
1,380,paper
1,381,glass
1,382,trash
1,383,glass
1,384,cardboard
1,385,plastic
1,386,trash
1,387,trash
1,388,plastic
1,389,glass
1,390,plastic
1,391,glass
1,392,metal
1,393,cardboard
1,394,cardboard
1,395,cardboard
1,396,metal
1,397,paper
1,398,trash
1,399,trash
1,400,glass
1,401,glass
1,402,cardboard
1,403,glass
1,404,plastic
1,405,metal
1,406,metal
1,407,metal
1,408,cardboard
1,409,plastic
1,410,glass
1,411,paper
1,412,glass
1,413,paper
1,414,cardboard
1,415,cardboard
1,416,metal
1,417,cardboard
1,418,cardboard
1,419,metal
1,420,metal
1,421,paper
1,422,paper
1,423,paper
1,424,glass
1,425,paper
1,426,plastic
1,427,plastic
1,428,cardboard
1,429,paper
1,430,metal
1,431,glass
1,432,metal
1,433,trash
1,434,trash
1,435,cardboard
1,436,cardboard
1,437,trash
1,438,cardboard
1,439,metal
1,440,paper
1,441,glass
1,442,paper
1,443,glass
1,444,cardboard
1,445,metal
1,446,glass
1,447,cardboard
1,448,trash
1,449,paper
1,450,metal
1,451,plastic
1,452,metal
1,453,trash
1,454,cardboard
1,455,cardboard
1,456,cardboard
1,457,trash
1,458,glass
1,459,paper
1,460,trash
1,461,paper
1,462,glass
1,463,paper
1,464,metal
1,465,glass
1,466,paper
1,467,cardboard
1,468,metal
1,469,trash
1,470,glass
1,471,glass
1,472,glass
1,473,glass
1,474,paper
1,475,cardboard
1,476,glass
1,477,plastic
1,478,trash
1,479,trash
1,480,glass
1,481,plastic
1,482,paper
1,483,trash
1,484,plastic
1,485,paper
1,486,paper
1,487,metal
1,488,trash
1,489,trash
1,490,metal
1,491,paper
1,492,cardboard
1,493,metal
1,494,trash
1,495,paper
1,496,cardboard
1,497,plastic
1,498,trash
1,499,plastic
1,500,plastic
1,501,plastic
1,502,metal
1,503,glass
1,504,cardboard
1,505,trash
1,506,cardboard
1,507,glass
1,508,trash
1,509,paper
1,510,cardboard
1,511,cardboard
1,512,metal
1,513,paper
1,514,trash
1,515,cardboard
1,516,glass
1,517,metal
1,518,trash
1,519,trash
1,520,glass
1,521,metal
1,522,cardboard
1,523,trash
1,524,cardboard
1,525,cardboard
1,526,paper
1,527,glass
1,528,paper
1,529,plastic
1,530,glass
1,531,trash
1,532,cardboard
1,533,glass
1,534,glass
1,535,glass
1,536,cardboard
1,537,metal
1,538,metal
1,539,trash
1,540,glass
1,541,plastic
1,542,paper
1,543,metal
1,544,trash
1,545,glass
1,546,glass
1,547,trash
1,548,plastic
1,549,cardboard
1,550,paper
1,551,trash
1,552,trash
1,553,glass
1,554,glass
1,555,cardboard
1,556,metal
1,557,trash
1,558,cardboard
1,559,trash
1,560,glass
1,561,trash
1,562,trash
1,563,plastic
1,564,metal
1,565,paper
1,566,trash
1,567,plastic
1,568,glass
1,569,trash
1,570,glass
1,571,paper
1,572,plastic
1,573,glass
1,574,glass
1,575,glass
1,576,paper
1,577,cardboard
1,578,glass
1,579,paper
1,580,cardboard
1,581,metal
1,582,paper
1,583,glass
1,584,cardboard
