subtaskID,datapointID,answer
1,434,-2.65
1,303,-8.05
1,394,-8.67
1,318,-8.83
1,436,-7.28
1,294,-8.67
1,304,-1.7
1,340,-1.07
1,410,-1.69
1,352,-0.02
1,358,-7.82
1,395,-6.5
1,397,-8.35
1,418,-0.23
1,385,-5.55
1,271,-1.99
1,389,-4.46
1,425,-2.79
1,330,-3.34
1,337,-0.1
1,326,-1.24
1,281,-4.5
1,442,5.0
1,325,5.0
1,292,5.0
1,422,5.0
1,345,5.0
1,275,5.0
1,438,5.0
1,312,5.0
1,414,5.0
1,399,5.0
1,320,5.0
1,379,5.0
1,342,5.0
1,376,5.0
1,417,5.0
1,365,5.0
1,283,5.0
1,279,5.0
1,446,5.0
1,377,5.0
1,277,5.0
1,448,5.0
1,297,5.0
1,439,5.0
1,356,5.0
1,447,5.0
1,314,5.0
1,441,5.0
1,373,5.0
1,287,5.0
1,334,5.0
1,313,5.0
1,323,5.0
1,301,5.0
1,336,5.0
1,276,5.0
1,274,5.0
1,369,5.0
1,407,5.0
1,416,5.0
1,426,5.0
1,419,5.0
1,307,5.0
1,427,5.0
1,412,5.0
1,409,5.0
1,445,5.0
1,403,5.0
1,374,5.0
1,429,5.0
1,354,5.0
1,433,5.0
1,298,5.0
1,431,5.0
1,305,5.0
1,285,5.0
1,398,5.0
1,333,5.0
1,332,5.0
1,421,5.0
1,368,5.0
1,329,5.0
1,349,5.0
1,378,5.0
1,321,5.0
1,423,5.0
1,440,5.0
1,300,5.0
1,282,5.0
1,273,5.0
1,384,5.0
1,286,5.0
1,363,5.0
1,347,5.0
1,401,5.0
1,391,5.0
1,299,5.0
1,420,5.0
1,343,5.0
1,402,5.0
1,324,5.0
1,375,5.0
1,311,5.0
1,359,5.0
1,400,5.0
1,284,5.0
1,388,5.0
1,413,5.0
1,346,5.0
1,322,5.0
1,449,5.0
1,366,5.0
1,315,5.0
1,327,5.0
1,437,5.0
1,443,5.0
1,430,5.0
1,351,5.0
1,317,5.0
1,348,5.0
1,316,5.0
1,278,5.0
1,295,5.0
1,364,5.0
1,444,5.0
1,355,5.0
1,390,5.0
1,406,5.0
1,328,5.0
