subtaskID,datapointID,answer
1,eval_img/12.png,-1|0|2
1,eval_img/14.png,-1|0|2
1,eval_img/19.png,-1|0|2
1,eval_img/20.png,-1|0|2
1,eval_img/23.png,-1|0|2
1,eval_img/24.png,-1|0|2
1,eval_img/26.png,-1|0|2
1,eval_img/32.png,-1|0|2
1,eval_img/33.png,-1|0|2
1,eval_img/34.png,-1|0|2
1,eval_img/36.png,-1|0|2
1,eval_img/39.png,-1|0|2
1,eval_img/40.png,-1|0|2
1,eval_img/41.png,-1|0|2
1,eval_img/51.jpg,-1|0|2
1,eval_img/52.jpg,-1|0|2
1,eval_img/53.jpg,-1|0|2
1,eval_img/54.jpg,-1|0|2
1,eval_img/61.png,-1|0|2
1,eval_img/62.png,-1|0|2
1,eval_img/63.png,-1|0|2
1,eval_img/64.png,-1|0|2
1,eval_img/65.png,-1|0|2
1,eval_img/70.png,-1|0|2
1,eval_img/71.png,-1|0|2
1,eval_img/72.png,-1|0|2
1,eval_img/73.png,-1|0|2
1,eval_img/74.png,-1|0|2
1,eval_img/75.png,-1|0|2
1,eval_img/76.png,-1|0|2
1,eval_img/77.png,-1|0|2
1,eval_img/83.png,-1|0|2
1,eval_img/84.png,-1|0|2
1,eval_img/1000.png,-1|0|2
1,eval_img/1001.png,-1|0|2
1,eval_img/1002.png,-1|0|2
1,eval_img/1003.png,-1|0|2
1,eval_img/1004.png,-1|0|2
1,eval_img/1005.png,-1|0|2
1,eval_img/1006.png,-1|0|2
1,eval_img/1007.png,-1|0|2
1,eval_img/1008.png,-1|0|2
1,eval_img/1009.png,-1|0|2
1,eval_img/1010.png,-1|0|2
1,eval_img/1011.png,-1|0|2
1,eval_img/1012.png,-1|0|2
1,eval_img/1013.png,-1|0|2
1,eval_img/1014.png,-1|0|2
1,eval_img/1015.png,-1|0|2
1,eval_img/1016.png,-1|0|2
1,eval_img/1017.png,-1|0|2
1,eval_img/1018.png,-1|0|2
1,eval_img/1019.png,-1|0|2
1,eval_img/1020.png,-1|0|2
1,eval_img/1021.png,-1|0|2
1,eval_img/1022.png,-1|0|2
1,eval_img/1023.png,-1|0|2
1,eval_img/1024.png,-1|0|2
1,eval_img/1025.png,-1|0|2
1,eval_img/1026.png,-1|0|2
1,eval_img/1027.png,-1|0|2
1,eval_img/1028.png,-1|0|2
1,eval_img/1029.png,-1|0|2
1,eval_img/1030.png,-1|0|2
