datapointID,subtaskID,answer
1238,1,True
1239,1,True
1240,1,True
1241,1,True
1242,1,True
1243,1,True
1244,1,True
1245,1,True
1246,1,True
1247,1,True
1248,1,True
1249,1,True
1250,1,True
1251,1,True
1252,1,True
1253,1,True
1254,1,True
1255,1,True
1256,1,True
1257,1,True
1258,1,True
1259,1,True
1260,1,True
1261,1,True
1262,1,True
1263,1,True
1264,1,True
1265,1,True
1266,1,True
1267,1,True
1268,1,True
1269,1,True
1270,1,True
1271,1,True
1272,1,True
1273,1,True
1274,1,True
1275,1,True
1276,1,True
1277,1,True
1278,1,True
1279,1,True
1280,1,True
1281,1,True
1282,1,True
1283,1,True
1284,1,True
1285,1,True
1286,1,True
1287,1,True
1288,1,True
1289,1,True
1290,1,True
1291,1,True
1292,1,True
1293,1,True
1294,1,True
1295,1,True
1296,1,True
1297,1,True
1298,1,True
1299,1,True
1300,1,True
1301,1,True
1302,1,True
1303,1,True
1304,1,True
1305,1,True
1306,1,True
1307,1,True
1308,1,True
1309,1,True
1310,1,True
1311,1,True
1312,1,True
1313,1,True
1314,1,True
1315,1,True
1316,1,True
1317,1,True
1318,1,True
1319,1,True
1320,1,True
1321,1,True
1322,1,True
1323,1,True
1324,1,True
1325,1,True
1326,1,True
1327,1,True
1328,1,True
1329,1,True
1330,1,True
1331,1,True
1332,1,True
1333,1,True
1334,1,True
1335,1,True
1336,1,True
1337,1,True
1338,1,True
1339,1,True
1340,1,True
1341,1,True
1342,1,True
1343,1,True
1344,1,True
1345,1,True
1346,1,True
1347,1,True
1348,1,True
1349,1,True
1350,1,True
1351,1,True
1352,1,True
1353,1,True
1354,1,True
1355,1,True
1356,1,True
1357,1,True
1358,1,True
1359,1,True
1360,1,True
1361,1,True
1362,1,True
1363,1,True
1364,1,True
1365,1,True
1366,1,True
1367,1,True
1368,1,True
1369,1,True
1370,1,True
1371,1,True
1372,1,True
1373,1,True
1374,1,True
1375,1,True
1376,1,True
1377,1,True
1378,1,True
1379,1,True
1380,1,True
1381,1,True
1382,1,True
1383,1,True
1384,1,True
1385,1,True
1386,1,True
1387,1,True
1388,1,True
1389,1,True
1390,1,True
1391,1,True
1392,1,True
1393,1,True
1394,1,True
1395,1,True
1396,1,True
1397,1,True
1398,1,True
1399,1,True
1400,1,True
1401,1,True
1402,1,True
1403,1,True
1404,1,True
1405,1,True
1406,1,True
1407,1,True
1408,1,True
1409,1,True
1410,1,True
1411,1,True
1412,1,True
1413,1,True
1414,1,True
1415,1,True
1416,1,True
1417,1,True
1418,1,True
1419,1,True
1420,1,True
1421,1,True
1422,1,True
1423,1,True
1424,1,True
1425,1,True
1426,1,True
1427,1,True
1428,1,True
1429,1,True
1430,1,True
1431,1,True
1432,1,True
1433,1,True
1434,1,True
1435,1,True
1436,1,True
1437,1,True
1438,1,True
1439,1,True
1440,1,True
1441,1,True
1442,1,True
1443,1,True
1444,1,True
1445,1,True
1446,1,True
1447,1,True
1448,1,True
1449,1,True
1450,1,True
1451,1,True
1452,1,True
1453,1,True
1454,1,True
1455,1,True
1456,1,True
1457,1,True
1458,1,True
1459,1,True
1460,1,True
1461,1,True
1462,1,True
1463,1,True
1464,1,True
1465,1,True
1466,1,True
1467,1,True
1468,1,True
1469,1,True
1470,1,True
1471,1,True
1472,1,True
1473,1,True
1474,1,True
1475,1,True
1476,1,True
1477,1,True
1478,1,True
1479,1,True
1480,1,True
1481,1,True
1482,1,True
1483,1,True
1484,1,True
1485,1,True
1486,1,True
1487,1,True
1488,1,True
1489,1,True
1490,1,True
1491,1,True
1492,1,True
1493,1,True
1494,1,True
1495,1,True
1496,1,True
1497,1,True
1498,1,True
1499,1,True
1500,1,True
1501,1,True
1502,1,True
1503,1,True
1504,1,True
1505,1,True
1506,1,True
1507,1,True
1508,1,True
1509,1,True
1510,1,True
1511,1,True
1512,1,True
1513,1,True
1514,1,True
1515,1,True
1516,1,True
1517,1,True
1518,1,True
1519,1,True
1520,1,True
1521,1,True
1522,1,True
1523,1,True
1524,1,True
1525,1,True
1526,1,True
1527,1,True
1528,1,True
1529,1,True
1530,1,True
1531,1,True
1532,1,True
1533,1,True
1534,1,True
1535,1,True
1536,1,True
1537,1,True
1538,1,True
1539,1,True
1540,1,True
1541,1,True
1542,1,True
1543,1,True
1544,1,True
1545,1,True
1546,1,True
1547,1,True
1548,1,True
1549,1,True
1550,1,True
1551,1,True
1552,1,True
1553,1,True
1554,1,True
1555,1,True
1556,1,True
1557,1,True
1558,1,True
1559,1,True
1560,1,True
1561,1,True
1562,1,True
1563,1,True
1564,1,True
1565,1,True
1566,1,True
1567,1,True
1568,1,True
1569,1,True
1570,1,True
1571,1,True
1572,1,True
1573,1,True
1574,1,True
1575,1,True
1576,1,True
1577,1,True
1578,1,True
1579,1,True
1580,1,True
1581,1,True
1582,1,True
1583,1,True
1584,1,True
1585,1,True
1586,1,True
1587,1,True
1,2,Hure
2,2,Hure
3,2,Hure
4,2,Hure
5,2,Hure
6,2,Hure
7,2,Hure
8,2,Hure
9,2,Hure
10,2,Hure
11,2,Hure
12,2,Hure
13,2,Hure
14,2,Hure
15,2,Hure
16,2,Hure
17,2,Hure
18,2,Hure
19,2,Hure
20,2,Hure
21,2,Hure
22,2,Hure
23,2,Hure
24,2,Hure
25,2,Hure
26,2,Hure
27,2,Hure
28,2,Hure
29,2,Hure
30,2,Hure
31,2,Hure
32,2,Hure
33,2,Hure
34,2,Hure
35,2,Hure
36,2,Hure
37,2,Hure
38,2,Hure
39,2,Hure
40,2,Hure
41,2,Hure
42,2,Hure
43,2,Hure
44,2,Hure
45,2,Hure
46,2,Hure
47,2,Hure
48,2,Hure
49,2,Hure
50,2,Hure
51,2,Hure
52,2,Hure
53,2,Hure
54,2,Hure
55,2,Hure
56,2,Hure
57,2,Hure
58,2,Hure
59,2,Hure
60,2,Hure
61,2,Hure
62,2,Hure
63,2,Hure
64,2,Hure
65,2,Hure
66,2,Hure
67,2,Hure
68,2,Hure
69,2,Hure
70,2,Hure
71,2,Hure
72,2,Hure
73,2,Hure
74,2,Hure
75,2,Hure
76,2,Hure
77,2,Hure
78,2,Hure
79,2,Hure
80,2,Hure
81,2,Hure
82,2,Hure
83,2,Hure
84,2,Hure
85,2,Hure
86,2,Hure
87,2,Hure
88,2,Hure
89,2,Hure
90,2,Hure
91,2,Hure
92,2,Hure
93,2,Hure
94,2,Hure
95,2,Hure
96,2,Hure
97,2,Hure
98,2,Hure
99,2,Hure
100,2,Hure
101,2,Hure
102,2,Hure
103,2,Hure
104,2,Hure
105,2,Hure
106,2,Hure
107,2,Hure
108,2,Hure
109,2,Hure
110,2,Hure
111,2,Hure
112,2,Hure
113,2,Hure
114,2,Hure
115,2,Hure
116,2,Hure
117,2,Hure
118,2,Hure
119,2,Hure
120,2,Hure
121,2,Hure
122,2,Hure
123,2,Hure
124,2,Hure
125,2,Hure
126,2,Hure
127,2,Hure
128,2,Hure
129,2,Hure
130,2,Hure
131,2,Hure
132,2,Hure
133,2,Hure
134,2,Hure
135,2,Hure
136,2,Hure
137,2,Hure
138,2,Hure
139,2,Hure
140,2,Hure
141,2,Hure
142,2,Hure
143,2,Hure
144,2,Hure
145,2,Hure
146,2,Hure
147,2,Hure
148,2,Hure
149,2,Hure
150,2,Hure
151,2,Hure
152,2,Hure
153,2,Hure
154,2,Hure
155,2,Hure
156,2,Hure
157,2,Hure
158,2,Hure
159,2,Hure
160,2,Hure
161,2,Hure
162,2,Hure
163,2,Hure
164,2,Hure
165,2,Hure
166,2,Hure
167,2,Hure
168,2,Hure
169,2,Hure
170,2,Hure
